Stock Name,Stock Link
Indian Oil Corporation Ltd.,https://in.investing.com/equities/indian-oil-corporation
Indraprastha Gas Ltd.,https://in.investing.com/equities/indraprastha-gas
Indus Towers Ltd.,https://in.investing.com/indices/us-30
IndusInd Bank Ltd.,https://in.investing.com/equities/indusind-bank
Info Edge (India) Ltd.,https://in.investing.com/equities/infomedia-press-ltd
Infosys Ltd.,https://in.investing.com/equities/infosys
InterGlobe Aviation Ltd.,https://in.investing.com/equities/interglobe-aviation-ltd
JSW Steel Ltd.,https://in.investing.com/equities/jastrzebska-spolka-weglowa
Jindal Steel & Power Ltd.,https://in.investing.com/equities/jindal-steel---power
Jubilant Foodworks Ltd.,https://in.investing.com/equities/jubilant-foodworks
Kotak Mahindra Bank Ltd.,https://in.investing.com/equities/kotak-mahindra-bank
Larsen & Toubro Infotech Ltd.,https://in.investing.com/equities/larsen-toubro-infotech-ltd
Larsen & Toubro Ltd.,https://in.investing.com/equities/larsen---toubro
Lupin Ltd.,https://in.investing.com/equities/lupin
Mahindra & Mahindra Ltd.,https://in.investing.com/equities/kotak-mahindra-bank
Marico Ltd.,https://in.investing.com/equities/marico
Maruti Suzuki India Ltd.,https://in.investing.com/equities/maruti-suzuki-india
Muthoot Finance Ltd.,https://in.investing.com/equities/muthoot-finance-ltd
NMDC Ltd.,https://in.investing.com/equities/nmdc
NTPC Ltd.,https://in.investing.com/equities/ntpc
Nestle India Ltd.,https://in.investing.com/equities/nestle
Oil & Natural Gas Corporation Ltd.,https://in.investing.com/commodities/brent-oil
PI Industries Ltd.,https://in.investing.com/equities/impinj-inc
Pidilite Industries Ltd.,https://in.investing.com/equities/pidilite-industries
Piramal Enterprises Ltd.,https://in.investing.com/equities/piramal-healthcare
Power Grid Corporation of India Ltd.,https://in.investing.com/equities/power-grid-corp.-of-india
Procter & Gamble Hygiene & Health Care Ltd.,https://in.investing.com/equities/procter-gamble-hygiene
Punjab National Bank,https://in.investing.com/equities/punjab-national-bank
Reliance Industries Ltd.,https://in.investing.com/equities/reliance-industries
SBI Cards and Payment Services Ltd.,https://in.investing.com/equities/sbi-cards-and-payment-services-ltd
SBI Life Insurance Company Ltd.,https://in.investing.com/equities/sbi-life-insurance
Shree Cement Ltd.,https://in.investing.com/equities/shree-cements
Siemens Ltd.,https://in.investing.com/equities/siemens-ltd
State Bank of India,https://in.investing.com/equities/state-bank-of-india
Steel Authority of India Ltd.,https://in.investing.com/equities/steel-authority-of-india
Sun Pharmaceutical Industries Ltd.,https://in.investing.com/equities/sun-pharma-advanced-research
Tata Consultancy Services Ltd.,https://in.investing.com/equities/tata-consultancy-services
Tata Consumer Products Ltd.,https://in.investing.com/equities/tata-global-beverages
Tata Motors Ltd.,https://in.investing.com/equities/tata-motors-ltd
Tata Steel Ltd.,https://in.investing.com/equities/tata-steel
Tech Mahindra Ltd.,https://in.investing.com/equities/tech-mahindra
Titan Company Ltd.,https://in.investing.com/equities/titan-industries
Torrent Pharmaceuticals Ltd.,https://in.investing.com/equities/torrent-pharmaceuticals
UPL Ltd.,https://in.investing.com/equities/united-phosphorus
UltraTech Cement Ltd.,https://in.investing.com/equities/ultratech-cement
United Spirits Ltd.,https://in.investing.com/equities/united-spirits
Vedanta Ltd.,https://in.investing.com/equities/sesa-goa
Wipro Ltd.,https://in.investing.com/equities/wipro-ltd
Yes Bank Ltd.,https://in.investing.com/equities/yes-bank
